number of outliers: 51
id,time,value
3,2023:12:31 05:23:59,35734.77
1,2023:12:31 05:26:59,34121.59
3,2023:12:31 05:26:59,32881.15
1,2023:12:31 05:29:59,33226.98
2,2023:12:31 05:35:59,30525.51
2,2023:12:31 05:44:59,37191.90
1,2023:12:31 05:47:59,34290.89
1,2023:12:31 05:59:59,35424.61
3,2023:12:31 05:59:59,34783.99
3,2023:12:31 06:02:59,32570.56
3,2023:12:31 06:08:59,30193.44
2,2023:12:31 06:14:59,34599.70
3,2023:12:31 06:14:59,36849.38
2,2023:12:31 06:20:59,36205.14
3,2023:12:31 06:23:59,33459.68
1,2023:12:31 06:26:59,36592.00
1,2023:12:31 06:32:59,32050.98
1,2023:12:31 06:35:59,37421.48
1,2023:12:31 06:41:59,38404.96
2,2023:12:31 06:41:59,32112.62
3,2023:12:31 06:41:59,36507.95
1,2023:12:31 06:50:59,31695.10
3,2023:12:31 06:50:59,39794.32
3,2023:12:31 06:53:59,36899.28
2,2023:12:31 06:56:59,34779.53
2,2023:12:31 06:59:59,39771.77
1,2023:12:31 07:05:59,32472.68
2,2023:12:31 07:08:59,37885.14
1,2023:12:31 07:11:59,38655.02
2,2023:12:31 07:11:59,34909.53
2,2023:12:31 07:14:59,38016.33
1,2023:12:31 07:17:59,38349.74
3,2023:12:31 07:17:59,38361.44
2,2023:12:31 07:20:59,38636.89
1,2023:12:31 07:26:59,34283.21
2,2023:12:31 07:26:59,37597.41
2,2023:12:31 07:29:59,38612.40
3,2023:12:31 07:29:59,38487.75
1,2023:12:31 07:38:59,35188.98
3,2023:12:31 07:41:59,38735.59
3,2023:12:31 07:44:59,37343.61
1,2023:12:31 07:47:59,33917.77
2,2023:12:31 07:53:59,31683.91
3,2023:12:31 07:53:59,31141.69
1,2023:12:31 07:56:59,38032.78
1,2023:12:31 08:11:59,36777.87
3,2023:12:31 08:11:59,34380.32
3,2023:12:31 08:17:59,38499.00
1,2023:12:31 08:23:59,39091.76
3,2023:12:31 08:23:59,34151.72
